Time;Time.Code;Country.Name;Country.Code;EG.CFT.ACCS.ZS;EG.ELC.ACCS.ZS;EG.ELC.ACCS.RU.ZS;EG.ELC.ACCS.UR.ZS;SP.ADO.TFRT;EA.PRD.AGRI.KD;NV.AGR.EMPL.KD;IS.AIR.GOOD.MT.K1;IS.AIR.PSGR;AG.YLD.CREL.KG;SE.PRM.UNER.ZS;SE.PRM.UNER;EN.ATM.CO2E.KD.GD;EN.ATM.CO2E.PC;FB.CBK.BRCH.P5;SE.COM.DURS;SL.FAM.WORK.FE.ZS;SL.FAM.WORK.MA.ZS;SL.AGR.EMPL.ZS;SL.AGR.EMPL.FE.ZS;SL.AGR.EMPL.MA.ZS;SL.IND.EMPL.MA.ZS;SL.SRV.EMPL.ZS;SL.SRV.EMPL.FE.ZS;SL.SRV.EMPL.MA.ZS;NE.EXP.GNFS.ZS;BX.KLT.DINV.CD.WD;NY.GDP.FRST.RT.ZS;NY.GDP.MKTP.KD;NY.GDP.MKTP.CD;NY.GDP.PCAP.KD;NY.GDP.PCAP.CD;NY.GDP.PCAP.PP.KD;NY.GDP.PCAP.PP.CD;SL.GDP.PCAP.EM.KD;NY.GDP.MKTP.PP.KD;NY.GDP.MKTP.PP.CD;NY.GNP.MKTP.KD;NY.GNP.PCAP.KD;NY.GNP.MKTP.PC.CD;NY.GNP.PCAP.CD;NY.GNP.PCAP.PP.CD;NY.GNP.MKTP.PP.CD;SH.TBS.INCD;IT.NET.USER.ZS;NV.IND.EMPL.KD;FP.CPI.TOTL.ZG;NV.IND.MANF.ZS;NV.IND.MANF.CD;SH.STA.MMRT;SH.STA.TRAF.P5;SH.DYN.NCOM.ZS;SH.DYN.NCOM.FE.ZS;SH.DYN.NCOM.MA.ZS;SH.STA.POIS.P5;SH.STA.POIS.P5.FE;SH.STA.POIS.P5.MA;SH.DYN.NMRT;SH.DYN.MORT;SH.DYN.MORT.FE;SH.DYN.MORT.MA;SH.STA.ODFC.ZS;SH.STA.ODFC.RU.ZS;SH.STA.ODFC.UR.ZS;SH.H2O.BASW.ZS;SH.H2O.BASW.RU.ZS;SH.H2O.BASW.UR.ZS;SH.STA.BASS.ZS;SH.STA.BASS.RU.ZS;SH.STA.BASS.UR.ZS;BX.TRF.PWKR.DT.GD.ZS;EN.ATM.PM25.MC.M3;EN.ATM.PM25.MC.ZS;SE.PRE.DURS;SH.ANM.ALLW.ZS;SH.PRV.SMOK.FE;SN.ITK.DEFC.ZS;SE.PRM.CMPT.FE.ZS;SE.PRM.CMPT.MA.ZS;SE.PRM.CMPT.ZS;SG.GEN.PARL.ZS;SE.PRM.ENRL.TC.ZS;SE.PRE.ENRR;SE.PRE.ENRR.FE;SE.PRE.ENRR.MA;NV.SRV.EMPL.KD;SH.ALC.PCAP.LI;SH.ALC.PCAP.FE.LI;SH.ALC.PCAP.MA.LI;NY.GDP.TOTL.RT.ZS;SP.URB.TOTL ;SP.URB.TOTL.IN.ZS;SP.URB.GROW;SL.EMP.WORK.FE.ZS;SL.EMP.WORK.MA.ZS;SL.EMP.WORK.ZS;ER.GDP.FWTL.M3.KD;ER.H2O.INTR.PC;EG.FEC.RNEW.ZS
2019;YR2019;Afghanistan;AFG;31,9;97,69999695;97,07563019;99,5;61,325;632,952294;1284,510343;20,01420595;1066747,356;2164,9;NA;NA;0,35186576;0,159824372;1,87;9;67,43000031;11,31999969;42,5;64,95999908;36,59999847;16,85000038;38,95999908;10,02000046;46,54999924;NA;23404553,65;0,332816377;21118462797;18799450743;555,1389963;494,1793499;2065,036235;2152,190243;8522,606006;78557606649;81873098235;NA;NA;502,0353195;520;2190;83174634965;189;17,6;3145,513386;2,302372515;7,043181081;1324079358;638;15,9;35,3;36,2;34,4;1;1,8;0,3;36,1;60,1;56,4;63,5;11,47563902;15,45623828;0;72,43421885;63,58819898;97,93634161;49,00616952;43,45651414;65,00522839;4,407426129;56,91080835;100;1;42,6;7,5;25,6;65,76151276;102,1178436;84,33058929;27,86885246;48,78979;NA;NA;NA;2907,216903;0,21;0,055;0,36;0,692528088;9797274;25,754;3,323827257;8,210000038;20,32999992;17,80999947;1,030269554;1268,430552;18,51
2019;YR2019;Albania;ALB;80,7;100;100;100;19,5028;4281,278263;5133,274733;0;307741;4840,5;2,106889963;3359;0,437493133;1,69224832;18,71;9;29,44000053;16,76000023;36,41999817;41,63000107;32,70999908;22,87999916;43,43000031;42,06000137;44,40999985;31,30427013;1201022154;0,138103571;12967692915;15401830754;4543,38652;5396,215864;13653,20157;13999,42397;30958,2199;38968845043;39957029903;12808481234;4487,604801;5325,589337;5230;13820;39434065969;16;68,55039112;11251,66103;1,41109079;6,256195102;963568581,2;15;11,7;11,4;6;16,7;0,3;0,2;0,4;7,5;9,7;8,9;10,5;0;0;0;94,75822287;93,39603293;95,62077919;99,18306692;99,20259083;99,17070413;9,562579054;18,20060252;100;5;24,8;6,2;3,9;104,5204315;102,2923965;103,3227463;29,50819672;17,57287;75,75498962;75,58106995;75,9148407;11844,28191;7,17;2,68;11,63;1,779665217;1747593;61,229;1,071413549;47,86999893;44,20999908;45,72999954;10,27912448;9384,672359;40,2
2019;YR2019;Algeria;DZA;99,7;99,5;98,68105316;99,80000305;9,5966;6203,30588;19430,2508;25,641745;6752002;1758,8;0,297300011;12511;0,863726874;3,977650459;5,24;10;2,309999943;1,779999971;9,600000381;3,380000114;10,76000023;31,70999908;59,99000168;73,12999725;57,52000046;22,71346191;1381200050;0,141688051;1,77E+11;1,72E+11;4115,39554;3989,668276;11521,98421;12008,26483;44345,18648;4,96E+11;5,17E+11;1,72E+11;4005,289609;3892,131176;4010;11710;5,04E+11;61;57,9;17746,71337;1,951768211;23,86191483;40986991595;112;20,9;13,9;12,8;14,9;0,7;0,5;0,8;16,3;23,3;21,8;24,6;0,185741468;0,63729124;0,02032728;94,23913956;89,70042701;95,90178563;86,13850411;79,24297531;88,66451202;1,039684273;38,8840107;100;1;33,3;0,7;2,5;101,5825729;101,1553497;101,3646317;25,75757576;24,32018;NA;NA;NA;13342,0768;0,95;0,25;1,63;16,33949119;31510100;73,189;2,702067325;74,51999664;66,44000244;67,70999908;17,70223262;266,3372457;0,16
2019;YR2019;Argentina;ARG;99,9;100;100;100;62,3488;22268,67046;2758230,53;280,283172;19461377;4671,4;0,422470003;18518;0,304081164;3,740650291;13,45;14;0,819999993;0,370000005;0,059999999;0,029999999;0,079999998;31,20000076;78,09999847;90,76999664;68,73000336;17,69594407;6663062112;0,154805338;5,71E+11;4,53E+11;12712,97074;10076,35524;22066,10101;22997,39176;53836,0305;9,92E+11;1,03E+12;5,48E+11;12200,79322;9680,050829;11260;22090;9,93E+11;29;79,9;29785,69914;NA;14,46985721;65522179692;39;14,1;15,7;12,1;19,7;0,4;0,3;0,5;5,3;9,1;7,9;10,2;NA;NA;0,774429366;99,0238575;92,98366005;99,73676913;95,41770247;76,77439426;97,83713279;0,119637774;13,31183395;93,85282467;6;11,9;19,9;3,9;98,17658234;98,90470123;98,54724121;40,15748031;NA;77,77883148;78,35578918;77,22286987;22314,60088;9,65;4,71;14,94;2,041639866;41339571;91,991;1,125019726;76,59999847;71,19000244;73,48999786;15,88726057;6562,608567;10,74
2019;YR2019;Armenia;ARM;98;100;100;100;20,282;18401,45332;6135,494102;0,3265;193668;2623,6;8,87942028;14928;0,464099631;2,086060678;24,24;12;1,950000048;0,730000019;24,04999924;26,88999939;21,69000053;35,84999847;51,20000076;61,70999908;42,45999908;41,35080136;100946084,1;0,253397635;12867495686;13619291361;4350,466198;4604,646324;13653,76338;14230,01487;38991,27204;40384118258;42088513415;13057739341;4414,787073;4665,170244;4660;14420;42641728944;26;66,54394969;13291,25893;1,443446608;11,71149186;1595022199;26;20;19,9;13,4;28;0,7;0,5;0,8;6;11,5;10,3;12,6;0,010710951;0,029120879;0;99,96873221;100;99,95054051;93,85240532;83,31172992;99,98500135;11,21909861;32,52811834;100;3;17,3;1,5;3,4;92,99519348;93,26407623;93,13851929;23,48484848;15,41859;39,33663177;40,22615814;38,55134964;13797,01532;5,55;2,55;9,14;2,070196209;1869846;63,219;0,313404068;70,48000336;62,34000015;66,02999878;3,967723447;2323,713431;10,34
2019;YR2019;Australia;AUS;100;100;100;100;10,9366;55934,0477;86838,24889;1931,155531;76850596,72;2035,5;0,684650004;15542;0,264262329;15,23826715;26,43;10;0,200000003;0,170000002;2,559999943;1,710000038;3,289999962;29,17000008;78,37999725;90,83000183;67,54000092;24,16972729;39101199005;0,176488836;1,49E+12;1,39E+12;58781,04666;54875,28596;49309,1124;51748,39772;97659,62545;1,25E+12;1,31E+12;1,48E+12;58266,41444;53119,05959;54910;50090;1,27E+12;6,9;88,6;NA;1,610767873;5,615118064;78159776856;6;4,9;8,6;6,8;10,4;0,1;0,1;0,2;2,4;3,7;3,4;4,1;0;NA;NA;99,96985563;100;99,965;99,99115238;NA;NA;0,12588061;8,550324401;24,89358377;4;8,5;11,9;2,5;NA;NA;NA;30,46357616;NA;166,1609192;162,6526489;169,4899139;NA;10,51;5,18;15,96;5,476997182;21845994;86,124;1,651780487;87,66999817;79,72000122;83,41999817;89,12533927;19693,63745;10,13
2019;YR2019;Austria;AUT;100;100;100;100;6,7488;49305,02327;29518,53267;320,036527;46476602;6160;0,056230001;187;0,154456827;7,293984252;11,87;13;1,120000005;1,039999962;3,660000086;3,180000067;4,070000172;37,15999985;70,98999786;85,05000305;58,77999878;55,44220654;-13120994313;0,060437782;4,14E+11;4,45E+11;46669,75121;50114,40111;55833,5599;58076,3488;111248,3063;4,96E+11;5,16E+11;4,10E+11;46157,51386;49933,22362;51010;57870;5,14E+11;6;87,75220479;97043,70804;1,530895642;16,54353279;73620685068;5;4,9;10,4;7,9;12,9;0,2;0,1;0,3;2,3;3,6;3,2;3,9;0;0;0;99,99999727;100;100;99,97271057;100;99,95336801;0,666719023;12,47796673;85,05153767;6;13;25,6;2,5;99,65705872;99,17488861;99,40850067;39,3442623;10,01653;102,7037506;102,2213135;103,1565475;82115,66066;11,96;5,77;18,49;0,113911596;5196085;58,515;0,817910607;90,52999878;85,5;87,83999634;114,2572798;6221,352791;33,77
2019;YR2019;Azerbaijan;AZE;96,7;100;100;100;57,1572;3455,552242;2251,119496;1620,43791;2585280;3013,7;8,450249672;55687;0,612230826;3,542397828;7,02;10;42,50999832;24,04000092;36;41,79999924;30,56999969;23,09000015;49,22000122;52,29000092;46,34000015;49,0506275;1503918000;0,019780082;53612524596;48174235294;5348,265267;4805,753718;14442,04087;15051,56128;29812,98395;1,45E+11;1,51E+11;NA;NA;4620,632659;4510;14470;1,45E+11;60;81,09999907;30728,3237;2,610571828;5,003650963;2410470588;26;6,7;27,2;20,4;34,4;0,9;0,6;1,3;10,4;20,4;18,3;22,4;0,085707314;0,194926689;0;95,41371728;89,56928102;100;96,12903013;95,72857394;96,44327863;2,646993247;19,92866362;100;5;35,1;0,1;2,5;100,3731613;100,3920212;100,3833389;16,80672269;15,42982;41,13872147;43,59907913;38,99179077;10215,38439;4,41;1,46;7,51;25,31607871;5616706;56,031;1,47506479;27,21999931;36,75999832;32,15000153;4,031374566;816,4171761;1,62
2019;YR2019;Bahrain;BHR;100;100;100;100;13,11;NA;11772,54929;311,15413;6440562;NA;2,344500065;2770;0,901432617;20,26610279;NA;9;0,479999989;0,439999998;0,939999998;0,039999999;1,159999967;41,66999817;63,81000137;91,38999939;57,16999817;76,48596076;1501329787;0,000516963;34985245170;38653318085;21317,33646;23552,37995;45311,8683;47224,23713;78064,95425;74364207032;77502717906;32923812352;20061,25674;22174,46976;22230;44460;72968493134;12;99,70149256;39122,5991;1,005820047;17,62160932;6811336702;14;5,2;16,1;15,4;16,4;0,3;0,1;0,4;3;7;6,6;7,2;0;NA;NA;100;NA;NA;100;NA;NA;NA;70,81620768;100;5;35,4;4,6;NA;97,32035065;103,1758194;100,241188;15;11,92315;51,5647316;53,60060883;49,75777054;33255,56622;1,09;0,32;1,5;11,31422834;1467102;89,394;4,588436747;96,98000336;97,41000366;97,33000183;216,2168564;2,548679905;0
2019;YR2019;Bangladesh;BGD;23,4;92,19999695;88,85359955;97,80000305;81,6636;768,9102037;1284,165618;168,6607136;6260241;4790,7;NA;NA;0,342259415;0,556529455;9;5;26,79000092;3,470000029;38,29999924;57,56999969;30,13999939;22,87000084;40,38000107;24,77000046;46,99000168;13,09475734;1908045387;0,082477841;2,58E+11;3,51E+11;1581,567505;2154,226819;5550,032778;5784,269636;13678,18139;9,05E+11;9,43E+11;2,69E+11;1647,056944;2242,467225;2250;6020;9,82E+11;221;23,8;5648,948014;5,591996399;21,20794388;74490450938;173;15,3;18,9;16,2;21,2;0,3;0,4;0,3;18,5;30,7;28,6;32,6;0;0;0;97,58742193;97,65849766;97,46848726;52,69870337;52,93509903;52,30311292;5,228317153;60,84578458;100;3;36,7;17,9;9,7;NA;NA;NA;20,63037249;30,05459;40,81816101;41,63365936;40,03688049;4973,304189;0,019;0,005;0,033;0,412651566;60987421;37,405;3,117416794;33,99000168;43,58000183;40,72999954;6,249686237;650,6514977;24,75
