"","COUNTRY","YEAR","Product Innovation","Process Innovation","High Growth","Risk Capital","Human capital","Competition","Internationalization","Start up skills","Networking","Cultural Support","Oppurtunity startup","Technology Absorption","Opputunity perception","Risk Acceptance","GEI_score"
"3","Sri Lanka",2019,0.504,0.19,0.183,0.133,0.307,0.313,0.31,0.155,0.058,0.163,0.146,0.046,0.378,0.068,19.1
"6","Suriname",2019,0.05,0.074,0.048,0.026,0.368,0.282,0.352,0.129,0.412,0.336,0.308,0.017,0.407,0.104,18.4
"9","Swaziland",2019,0.257,0.128,0.388,0.204,0.317,0.18,0.27,0.052,0.107,0.318,0,0.174,0.657,0.081,18.8
"12","Sweden",2019,0.705,0.858,0.407,0.66,0.639,0.842,1,0.454,0.706,0.844,1,1,0.949,0.689,70.2
"15","Switzerland",2019,0.752,1,0.988,1,0.886,0.997,1,0.717,0.586,0.769,0.908,0.821,0.714,0.904,82.2
"18","Thailand",2019,0.479,0.427,0.579,0.38,0.536,0.277,0.317,0.387,0.263,0.296,0.349,0.196,0.396,0.163,33.5
"21","Trinidad & Tobago",2019,0.1,0.074,0.434,0.162,0.51,0.223,0.003,0.18,0.034,0.358,0.28,0.113,0.636,0.54,21.7
"24","Tunisia",2019,0.404,0.566,0.609,0.684,0.494,0.255,0.039,0.403,0.469,0.345,0.371,0.625,0.385,0.117,34
"27","Turkey",2019,0.866,0.398,0.868,0.814,0.325,0.304,0.266,0.804,0.325,0.326,0.315,0.471,0.354,0.146,39.8
"30","Uganda",2019,0.066,0.172,0.077,0.106,0.097,0.161,0.088,0.044,0.077,0.228,0.332,0.048,0.741,0.11,14.8
"33","Ukraine",2019,0.206,0.314,0.412,0.317,0.509,0.168,0.194,0.71,0.338,0.188,0.276,0.317,0.197,0.012,25.2
"36","United Arab Emirates",2019,0.622,0.601,0.952,0.586,0.942,0.563,0.339,0.55,1,1,0.661,0.233,0.529,0.303,54.2
"39","United Kingdom",2019,0.679,0.67,0.894,0.707,0.746,0.821,1,0.586,0.649,0.919,0.894,1,0.749,0.876,77.5
"42","United States",2019,0.876,0.934,1,0.778,1,1,1,1,0.61,0.841,0.85,0.948,1,0.931,86.8
"45","Uruguay",2019,0.33,0.258,0.37,0.116,0.266,0.247,0.051,0.423,0.588,0.521,0.362,0.563,0.429,0.357,30.1
"48","Venezuela",2019,0.128,0.294,0.149,0.056,0.108,0.069,0.034,0.69,0.347,0.104,0.021,0.126,0.033,0.024,13.1
"51","Vietnam",2019,0.373,0.3,0.197,0.495,0.466,0.214,0.14,0.252,0.291,0.255,0.376,0.145,0.426,0.076,26
"54","Zambia",2019,0.093,0.146,0.046,0.091,0.159,0.215,0.406,0.023,0.247,0.263,0.291,0.028,0.447,0.099,16.3
"57","Belize",2019,0.205,0.189,0.292,0.377,0.33,0.384,0.568,0.266,0.285,0.309,0.371,0.255,0.377,0.019,26.2
"60","Georgia",2019,0.136,0.114,0.381,0.151,0.577,0.222,0.453,0.302,0.161,0.573,0.22,0.307,0.462,0.067,26.2
"63","Armenia",2019,0.124,0.145,0.38,0.121,0.676,0.32,0.247,0.381,0.251,0.247,0.174,0.324,0.295,0.057,24.3
"66","Azerbaijan",2019,0.664,0.167,0.925,0.186,0.548,0.367,0.414,0.234,0.198,0.231,0.241,0.281,0.444,0.141,32.1
"69","Guinea",2019,0.231,0.096,0.29,0.062,0.17,0.183,0.173,0.102,0.187,0.171,0.121,0.204,0.334,0.025,15.5
"72","Kyrgyz Republic",2019,0.172,0.113,0.326,0.233,0.679,0.165,0.206,0.296,0.153,0.169,0,0.211,0.399,0.02,19.2
"75","Tajikistan",2019,0.267,0.126,0.455,0.274,0.59,0.228,0.206,0.246,0.121,0.1,0,0.243,0.274,0.02,19.4
"78","Taiwan",2019,1,0.806,0.987,1,0.727,0.382,0.528,0.525,0.689,0.595,0.605,0.749,0.373,0.577,62.1
"81","Tanzania",2019,0.198,0.166,0.241,0.132,0.138,0.228,0.104,0.028,0.184,0.274,0.221,0.188,0.435,0.092,17.3
"84","Russia",2019,0.153,0.358,0.356,0.187,0.622,0.197,0.036,0.469,0.553,0.163,0.209,0.272,0.199,0.195,24.8
"87","Rwanda",2019,0.238,0.12,0.307,0.079,0.194,0.349,0.134,0.107,0.216,0.548,0,0.213,0.858,0.092,20
"90","Saudi Arabia",2019,0.343,0.136,0.329,0.729,0.344,0.307,0.808,0.981,1,0.476,0.472,0.154,0.717,0.468,42.1
"93","Senegal",2019,0.055,0.455,0.386,0.064,0.081,0.25,0.082,0.15,0.302,0.556,0.139,0.124,0.365,0.236,20.3
"96","Sierra Leone",2019,0.15,0.095,0.199,0.062,0.074,0.125,0.166,0.015,0.218,0.203,0.185,0.17,0.217,0.025,12.7
"99","Singapore",2019,0.634,1,1,0.815,1,0.63,1,0.035,0.447,0.722,1,0.727,0.502,0.812,52.4
"102","Slovakia",2019,0.378,0.466,0.526,0.488,0.37,0.26,1,0.437,0.256,0.294,0.381,0.711,0.291,0.614,42.6
"105","Slovenia",2019,0.502,0.814,0.468,0.313,0.52,0.478,1,1,0.339,0.523,0.559,1,0.416,0.915,56.5
